sensor_id,timestamp,value,expected_value,deviation_pct,sample_count,scenario_event
900101,2026-06-08 00:00:00,1025110.011,1025110.011,,12,
900101,2026-06-08 01:00:00,1025215.268,1025215.268,0.000,12,
900101,2026-06-08 02:00:00,1025322.939,1025322.939,0.000,12,
900101,2026-06-08 03:00:00,1025429.596,1025429.596,0.000,12,
900101,2026-06-08 04:00:00,1025616.847,1025616.847,0.000,12,
900101,2026-06-08 05:00:00,1025864.681,1025864.681,0.000,12,
900101,2026-06-08 06:00:00,1026172.522,1026172.522,0.000,12,
900101,2026-06-08 07:00:00,1026569.192,1026569.192,0.000,12,
900101,2026-06-08 08:00:00,1026967.866,1026967.866,0.000,12,
900101,2026-06-08 09:00:00,1027380.357,1027380.357,0.000,12,
900101,2026-06-08 10:00:00,1027781.177,1027781.177,0.000,12,
900101,2026-06-08 11:00:00,1028185.199,1028185.199,0.000,12,
900101,2026-06-08 12:00:00,1028595.861,1028595.861,0.000,12,
900101,2026-06-08 13:00:00,1029016.364,1029016.364,0.000,12,
900101,2026-06-08 14:00:00,1029427.496,1029427.496,0.000,12,
900101,2026-06-08 15:00:00,1029836.666,1029836.666,0.000,12,
900101,2026-06-08 16:00:00,1030240.675,1030240.675,0.000,12,
900101,2026-06-08 17:00:00,1030573.706,1030573.706,0.000,12,
900101,2026-06-08 18:00:00,1030852.954,1030852.954,0.000,12,
900101,2026-06-08 19:00:00,1031104.150,1031104.150,0.000,12,
900101,2026-06-08 20:00:00,1031316.494,1031316.494,0.000,12,
900101,2026-06-08 21:00:00,1031455.367,1031455.367,0.000,12,
900101,2026-06-08 22:00:00,1031601.987,1031601.987,0.000,12,
900101,2026-06-08 23:00:00,1031743.261,1031743.261,0.000,12,
900101,2026-06-09 00:00:00,1031849.256,1031849.256,0.000,12,
900101,2026-06-09 01:00:00,1031955.222,1031955.222,0.000,12,
900101,2026-06-09 02:00:00,1032065.638,1032065.638,0.000,12,
900101,2026-06-09 03:00:00,1032170.870,1032170.870,0.000,12,
900101,2026-06-09 04:00:00,1032362.889,1032362.889,0.000,12,
900101,2026-06-09 05:00:00,1032611.602,1032611.602,0.000,12,
900101,2026-06-09 06:00:00,1032927.133,1032927.133,0.000,12,
900101,2026-06-09 07:00:00,1033347.900,1033347.900,0.000,12,
900101,2026-06-09 08:00:00,1033746.601,1033746.601,0.000,12,
900101,2026-06-09 09:00:00,1034147.860,1034147.860,0.000,12,
900101,2026-06-09 10:00:00,1034543.179,1034543.179,0.000,12,
900101,2026-06-09 11:00:00,1034960.226,1034960.226,0.000,12,
900101,2026-06-09 12:00:00,1035363.518,1035363.518,0.000,12,
900101,2026-06-09 13:00:00,1035755.463,1035755.463,0.000,12,
900101,2026-06-09 14:00:00,1036156.308,1036156.308,0.000,12,
900101,2026-06-09 15:00:00,1036559.611,1036559.611,0.000,12,
900101,2026-06-09 16:00:00,1036955.204,1036955.204,0.000,12,
900101,2026-06-09 17:00:00,1037277.913,1037277.913,0.000,12,
900101,2026-06-09 18:00:00,1037565.304,1037565.304,0.000,12,
900101,2026-06-09 19:00:00,1037817.400,1037817.400,0.000,12,
900101,2026-06-09 20:00:00,1038032.054,1038032.054,0.000,12,
900101,2026-06-09 21:00:00,1038179.542,1038179.542,0.000,12,
900101,2026-06-09 22:00:00,1038323.817,1038323.817,0.000,12,
900101,2026-06-09 23:00:00,1038466.440,1038466.440,0.000,12,
900101,2026-06-10 00:00:00,1038578.691,1038578.691,0.000,12,
900101,2026-06-10 01:00:00,1038685.235,1038685.235,0.000,12,
900101,2026-06-10 02:00:00,1038795.782,1038795.782,0.000,12,
